user_id day
720442 1
720442 1
720442 1
1075121 6
1075121 12
1075121 17
1075121 9
1075121 15
1075121 10
1075121 14
1075121 10
1075121 12
1075121 20
1075121 15
1075121 8
1075121 8
1075121 9
1075121 16
1075121 13
1075121 12
1075121 4
1075121 7
1075121 15
1075121 9
1075121 11
1075121 6
1075121 5
1075121 11
1075121 8
1075121 11
1075121 3
1075121 7
1139400 6
1139400 13
1139400 4
1139400 4
1139400 15
1139400 13
1139400 13
1139400 4
1139400 6
1139400 9
1139400 9
1139400 11
1139400 4
1139400 6
1139400 5
1139400 8
1139400 4
1139400 3
1139400 3
1139400 3
961582 5
961582 7
961582 10
670409 16
670409 16
107672 14
107672 21
107672 14
107672 18
107672 21
107672 21
107672 14
107672 18
236031 11
120315 7
787525 21
1351269 21
1351269 22
1351269 14
1351269 12
1351269 16
1351269 11
1351269 12
1351269 25
1351269 11
1203582 14
1203582 15
1203582 28
1203582 13
1203582 14
1203582 15
1203582 19
1203582 19
1203582 14
1203582 27
1203582 13
1203582 21
1203582 17
1203582 20
1203582 11
1203582 29
1203582 27
1203582 14
1203582 30
1203582 19
1203582 27
1203582 27
1203582 22
1203582 26
1203582 12
1203582 16
1281352 13
1281352 13
1281352 29
1281352 13
1281352 29
1281352 27
1281352 29
1281352 13
1281352 13
1281352 13
1281352 28
1281352 13
761667 28
761667 14
1006028 14
369542 14
544711 18
544711 28
544711 16
231422 17
231422 16
231422 15
497665 18
1283722 20
411675 21
411675 30
411675 23
411675 23
411675 23
174335 27
174335 27
174335 27
174335 27
174335 28
174335 27
174335 28
174335 27
174335 27
174335 27
134037 23
134037 24
1327973 23
148216 23
219736 25
206262 28
1300232 30
1300232 28
1300232 29
1300232 30
1300232 29
1300232 30
1300232 28
1300232 30
1300232 28
1300232 30
1300232 28
1300232 29
1300232 30
1300232 29
1300232 28
1300232 29
677227 30
1153656 28
1153656 28
1028051 4
1028051 4
1028051 4
578054 10
578054 7
660551 23
901387 9
901387 9
901387 21
901387 21
901387 24
901387 7
548276 8
45982 9
45982 9
27445 11
836852 11
711108 12
711108 12
711108 12
267104 26
267104 26
794450 16
794450 16
794450 15
794450 15
546480 18
946177 24
946177 29
946177 29
946177 26
946177 30
946177 28
946177 29
946177 24
946177 29
946177 24
946177 30
946177 27
946177 24
946177 27
946177 29
946177 23
946177 23
946177 28
946177 22
946177 26
946177 28
946177 25
946177 29
946177 25
946177 22
946177 26
946177 26
946177 29
946177 24
946177 25
946177 23
946177 25
946177 27
946177 27
946177 27
829070 18
829070 18
1225960 20
1225960 18
1225960 26
1225960 18
1225960 30
1225960 20
1225960 21
1225960 18
1225960 22
1225960 18
1225960 19
1225960 26
615097 20
615097 20
1314518 28
1314518 28
933848 20
933848 16
933848 20
933848 29
933848 16
933848 15
933848 15
933848 15
933848 16
933848 29
933848 24
933848 16
933848 15
933848 15
933848 14
933848 16
933848 20
933848 14
933848 20
933848 14
933848 29
861288 3
861288 3
861288 2
861288 19
861288 27
861288 17
861288 27
861288 2
861288 16
1162204 3
1162204 15
1162204 3
545897 5
545897 4
545897 4
545897 4
545897 9
256552 9
256552 6
256552 6
479368 21
479368 21
479368 10
479368 11
479368 11
479368 10
479368 11
479368 9
479368 9
479368 9
479368 10
479368 25
479368 11
479368 25
916548 23
916548 23
916548 23
916548 23
916548 30
916548 27
916548 28
916548 23
916548 23
916548 30
916548 14
916548 23
916548 23
916548 28
916548 14
916548 27
916548 14
916548 14
916548 23
916548 30
1172804 10
1172804 15
1302380 7
1302380 7
1302380 8
1302380 7
1302380 8
1302380 7
1302380 7
1302380 7
1302380 7
1150737 8
1150737 8
1150737 9
1150737 8
1150737 8
1150737 8
361199 27
361199 9
361199 28
361199 26
361199 26
274377 30
274377 23
274377 20
274377 21
274377 20
274377 26
274377 30
274377 19
274377 28
274377 20
274377 20
274377 20
274377 30
274377 30
274377 30
1255852 23
1255852 22
495312 15
495312 21
495312 15
495312 15
495312 15
