user_id day
383101 1
330955 4
330955 9
330955 11
330955 12
330955 18
330955 24
330955 26
330955 28
14804 4
14804 5
14804 13
14804 30
214512 3
214512 12
766831 1
766831 2
766831 7
766831 10
766831 14
766831 18
672921 1
672921 5
672921 8
672921 11
672921 12
257929 29
878467 9
878467 10
945386 2
945386 7
778095 1
507353 2
507353 5
507353 6
507353 19
507353 21
507353 28
642318 1
12848 2
12848 3
12848 7
12848 8
12848 9
12848 10
12848 11
12848 13
458359 2
458359 5
458359 6
458359 7
458359 14
458359 16
458359 26
924262 1
924262 3
921322 1
921322 7
921322 8
921322 9
921322 10
921322 12
921322 13
921322 15
921322 21
921322 22
921322 24
921322 26
921322 27
921322 28
993424 5
993424 12
993424 14
993424 23
993424 27
909064 1
916946 1
916946 12
191683 1
191683 13
191683 15
191683 17
619905 1
619905 27
33332 7
33332 9
33332 10
33332 13
33332 14
33332 15
33332 16
33332 19
33332 21
415351 5
415351 10
415351 14
415351 15
415351 17
415351 20
415351 22
415351 23
415351 24
415351 25
415351 29
1313708 2
1313708 8
1313708 10
1313708 14
1313708 23
1313708 24
1313708 30
1338654 1
1338654 4
41062 1
41062 23
538460 1
538460 17
538460 20
516075 17
516075 21
516075 30
551118 2
1012734 1
1012734 2
1012734 8
1012734 9
1012734 10
1156545 1
1156545 2
1156545 12
1156545 16
1156545 21
1156545 28
1156545 29
233807 1
233807 6
233807 8
233807 9
233807 11
152515 1
642923 1
394813 1
394813 4
394813 5
394813 7
394813 8
394813 22
394813 24
319752 28
129681 2
129681 15
129681 25
570463 1
970002 3
970002 9
970002 12
970002 14
970002 21
970002 30
1204536 3
1204536 9
1204536 12
1204536 13
1204536 21
1204536 23
1204536 25
1204536 29
259645 1
1248348 1
515511 1
515511 4
515511 5
515511 10
515511 13
515511 16
515511 18
515511 25
515511 27
794520 1
1007688 1
448707 1
1189405 5
1189405 13
910173 2
910173 3
473879 12
1224627 5
1046919 4
1046919 5
1046919 12
1046919 15
1046919 16
1046919 20
1046919 21
1046919 22
1046919 27
432184 7
432184 17
432184 28
1184080 1
1184080 11
1184080 22
1184080 28
1124581 1
1124581 5
1124581 6
1124581 9
743970 7
519538 5
519538 9
519538 10
519538 11
519538 19
519538 21
519538 25
519538 27
532298 2
532298 7
532298 8
532298 15
532298 16
532298 17
532298 21
641000 6
641000 12
641000 30
462078 2
462078 3
462078 4
462078 5
462078 8
462078 11
835166 1
835166 15
835166 28
183097 11
183097 12
465279 29
172734 1
172734 3
172734 6
172734 7
172734 9
172734 16
172734 22
172734 25
172734 26
172734 30
801104 2
801104 4
801104 17
801104 18
801104 26
866855 1
866855 10
183420 5
183420 6
183420 9
183420 11
183420 15
183420 17
183420 19
183420 20
1187727 2
780041 20
780041 21
996197 1
1256159 9
1256159 18
1256159 19
1256159 20
